,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
117,Tomkins,2,44,58,1.3181818181818181,2.0,a,1,2,1,0,0,0,0,0,0,1,0,0,1,6,0,0,3,6,2,7,6,2,6,0,1,2,1,9,1,0,2.3333333333333335
332,Pieters,2,47,58,1.2340425531914894,2.0,a,2,6,1,1,1,0,2,-1,1,6,1,1,1,1,2,0,2,2,0,0,0,6,0,6,5,1,5,0,6,0,3.8333333333333335
520,Sánchez,2,60,82,1.3666666666666667,2.8275862068965516,a,0,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,6,0,6,2,8,8,6,0,5.0
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
363,Ki Sung-yueng,3,49,59,1.2040816326530612,2.0344827586206895,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,0,6.5
337,Allen,3,51,88,1.7254901960784315,3.0344827586206895,a,1,3,1,2,6,2,1,0,2,2,2,2,2,2,8,2,2,2,12,6,0,1,2,11,3,2,2,4,3,0,4.166666666666667
173,van La Parra,3,48,60,1.25,2.0689655172413794,a,1,3,1,2,1,0,2,1,1,1,8,2,-1,0,0,0,0,3,2,2,3,2,2,2,1,2,7,10,2,0,4.0
110,Kenedy,3,47,17,0.3617021276595745,0.5862068965517241,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,3,2,0,2.8333333333333335
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
51,King,4,70,71,1.0142857142857142,2.4482758620689653,a,2,2,2,2,2,7,2,2,0,0,2,5,1,7,2,2,2,1,0,5,4,0,0,1,1,6,1,2,8,0,3.1666666666666665
240,Ederson,1,56,131,2.3392857142857144,4.517241379310345,a,6,2,2,2,6,6,8,1,6,1,2,6,2,2,3,3,7,2,6,6,14,3,1,3,6,2,2,15,6,0,5.666666666666667
536,Karnezis,1,45,30,0.6666666666666666,1.0344827586206897,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,7,8,0,5.0
