,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,PFA6
245,Otamendi,2,65,121,1.8615384615384616,4.653846153846154,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,0,3.1666666666666665
100,Alonso,2,74,138,1.864864864864865,5.3076923076923075,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,4.666666666666667
354,Fernández,2,44,63,1.4318181818181819,2.423076923076923,a,9,0,6,2,8,1,2,7,-1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,11,2,10,0,4.166666666666667
120,Kelly,2,42,32,0.7619047619047619,1.2307692307692308,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,2,1,5,2,6,0,2,1,0,2.6666666666666665
59,Bong,2,44,38,0.8636363636363636,1.4615384615384615,a,0,0,0,0,0,0,1,0,6,1,6,1,2,0,0,0,1,6,0,0,9,0,1,0,2,2,0,2.3333333333333335
234,Salah,3,103,204,1.9805825242718447,7.846153846153846,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,0,8.333333333333334
247,Sterling,3,90,165,1.8333333333333333,6.346153846153846,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,10,3,0,4.833333333333333
280,Martial,3,81,111,1.3703703703703705,4.269230769230769,a,10,6,3,1,6,0,4,3,0,6,1,7,3,8,5,2,3,1,5,0,1,11,12,10,2,1,0,6.166666666666667
434,Brunt,3,50,49,0.98,1.8846153846153846,a,8,3,3,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,6,3,2,0,6,2,0,9,0,3.1666666666666665
132,Milivojevic,3,47,82,1.7446808510638299,3.1538461538461537,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,0,5.333333333333333
394,Kane,4,128,160,1.25,6.153846153846154,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,0,4.833333333333333
235,Firmino,4,92,129,1.4021739130434783,4.961538461538462,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,0,3.8333333333333335
48,Wilson,4,59,73,1.2372881355932204,2.8076923076923075,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,2,12,2,0,6.0
469,Pope,1,49,113,2.306122448979592,4.346153846153846,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,2,11,5,0,4.666666666666667
287,Darlow,1,44,33,0.75,1.2692307692307692,a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,7,9,2,3,0,3,0,4.0
