,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
260,de Gea,1,59,114,1.9322033898305084,6.705882352941177,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,0,4.833333333333333
54,Ryan,1,45,87,1.9333333333333333,5.117647058823529,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,0,5.0
380,Vertonghen,2,60,69,1.15,4.0588235294117645,a,6,0,2,6,7,1,6,5,5,2,9,1,1,0,1,2,6,0,6,1,0,2,0,2.5
289,Clark,2,44,55,1.25,3.235294117647059,a,1,2,15,6,1,2,2,0,0,0,1,0,1,8,0,1,0,0,1,0,8,6,0,2.5
58,Bruno,2,45,64,1.4222222222222223,3.764705882352941,a,1,1,0,7,0,7,1,1,8,2,6,1,2,6,0,1,0,7,6,0,6,1,0,3.3333333333333335
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
106,Willian,3,67,81,1.208955223880597,4.764705882352941,a,6,3,3,1,3,3,1,2,4,1,1,1,6,3,1,1,16,3,3,1,17,1,0,6.833333333333333
501,Richarlison,3,64,99,1.546875,5.823529411764706,a,4,11,3,3,2,7,10,5,5,1,7,8,6,2,1,2,6,2,2,5,5,2,0,3.6666666666666665
70,Groß,3,59,101,1.7118644067796611,5.9411764705882355,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,0,3.5
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
302,Pérez,4,52,47,0.9038461538461539,2.764705882352941,a,2,2,5,2,2,2,1,8,2,2,1,0,1,2,2,-1,1,2,1,0,1,9,0,2.3333333333333335
186,Quaner,4,46,27,0.5869565217391305,1.588235294117647,d,4,1,1,0,1,0,0,0,0,0,0,0,1,2,1,2,0,5,1,5,2,1,0,2.3333333333333335
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
