,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
306,Forster,1,48,73,1.5208333333333333,4.294117647058823,a,6,3,11,1,7,3,9,1,6,2,2,2,2,5,3,3,1,4,2,0,0,0,0,0,1.0
469,Pope,1,48,95,1.9791666666666667,5.588235294117647,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,0,3.1666666666666665
117,Tomkins,2,43,44,1.0232558139534884,2.588235294117647,a,1,2,1,0,0,0,0,0,0,1,0,0,1,6,0,0,3,6,2,7,6,2,6,0,4.833333333333333
423,Evans,2,49,61,1.2448979591836735,3.588235294117647,a,0,0,0,1,6,0,6,2,1,0,2,0,2,-1,6,1,6,5,1,6,1,1,15,0,4.833333333333333
123,Schlupp,2,47,39,0.8297872340425532,2.2941176470588234,i,0,1,0,2,2,-1,1,2,2,1,1,1,2,6,6,1,2,5,2,1,0,2,0,0,1.6666666666666667
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
390,Son,3,81,109,1.345679012345679,6.411764705882353,a,1,1,3,1,3,0,1,3,7,3,10,1,2,1,7,16,8,2,3,14,0,9,13,0,6.833333333333333
131,Townsend,3,56,72,1.2857142857142858,4.235294117647059,i,1,2,2,2,2,2,2,2,2,6,1,2,6,3,3,2,2,8,2,12,3,5,0,0,5.0
19,Chamberlain,3,56,64,1.1428571428571428,3.764705882352941,a,2,2,2,1,1,1,1,1,1,1,7,1,7,2,1,2,1,6,1,8,1,2,12,0,5.0
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
302,Pérez,4,52,52,1.0,3.0588235294117645,a,2,2,5,2,2,2,1,8,2,2,1,0,1,2,2,-1,1,2,1,0,1,9,5,0,3.0
134,Benteke,4,76,41,0.5394736842105263,2.411764705882353,a,2,1,1,1,2,2,0,0,0,0,0,1,1,2,2,-1,2,11,0,2,2,5,5,0,4.166666666666667
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
