,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
135,Pickford,1,49,88,1.7959183673469388,5.176470588235294,a,6,4,2,2,1,3,2,2,3,1,1,2,0,13,9,2,10,2,9,10,2,2,0,5.833333333333333
469,Pope,1,48,93,1.9375,5.470588235294118,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,0,4.666666666666667
55,Dunk,2,45,59,1.3111111111111111,3.4705882352941178,a,-1,1,6,2,1,6,1,1,6,2,5,1,0,5,-2,1,1,8,7,1,6,1,0,4.0
447,Zabaleta,2,49,51,1.0408163265306123,3.0,a,-1,0,1,5,6,1,9,2,1,1,0,1,2,-1,1,8,6,6,1,0,0,2,0,2.5
56,Duffy,2,46,66,1.434782608695652,3.8823529411764706,a,1,1,9,2,1,5,0,6,7,1,7,1,1,6,3,1,1,5,0,1,6,1,0,2.3333333333333335
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
300,Atsu,3,48,63,1.3125,3.7058823529411766,a,2,2,6,1,9,2,2,5,3,2,3,0,0,0,0,1,2,1,15,1,3,3,0,4.166666666666667
70,Groß,3,59,101,1.7118644067796611,5.9411764705882355,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,0,3.5
279,Lingard,3,63,86,1.3650793650793651,5.0588235294117645,a,1,0,4,1,4,0,1,1,2,1,1,0,0,12,15,2,3,10,5,13,2,8,0,6.833333333333333
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
187,Depoitre,4,55,68,1.2363636363636363,4.0,a,0,0,0,1,9,2,2,2,9,2,2,2,2,1,2,1,5,13,9,1,2,1,0,5.166666666666667
435,Rondón,4,60,45,0.75,2.6470588235294117,a,1,1,1,1,0,1,6,2,2,1,1,1,6,2,2,2,2,1,6,1,0,5,0,2.5
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
