,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
29,Begovic,1,45,69,1.5333333333333334,4.0588235294117645,a,3,2,3,3,2,1,6,2,2,3,9,8,6,1,2,8,2,1,0,1,2,2,0,1.3333333333333333
2,Cech,1,54,82,1.5185185185185186,4.823529411764706,a,1,3,2,6,10,6,6,1,1,2,2,8,6,6,1,2,6,6,3,1,1,2,0,3.1666666666666665
171,Zanka,2,46,65,1.4130434782608696,3.823529411764706,a,10,6,6,0,2,8,0,0,2,1,6,0,1,0,1,10,1,2,2,1,5,1,0,2.0
520,Sánchez,2,60,46,0.7666666666666667,2.7058823529411766,a,0,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,0,1.6666666666666667
140,Jagielka,2,47,27,0.574468085106383,1.588235294117647,a,7,2,1,0,0,0,0,2,0,1,1,1,0,0,0,1,1,0,9,0,1,0,0,1.8333333333333333
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
527,Carrillo,3,55,53,0.9636363636363636,3.1176470588235294,a,0,0,1,3,2,5,2,1,1,2,2,1,1,4,1,2,3,2,2,4,9,5,0,4.166666666666667
337,Allen,3,51,61,1.196078431372549,3.588235294117647,a,1,3,1,2,6,2,1,0,2,2,2,2,2,2,8,2,2,2,12,6,0,1,0,3.8333333333333335
24,Wilshere,3,54,29,0.5370370370370371,1.7058823529411764,a,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,3,3,2,5,1,8,0,3.6666666666666665
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
209,Vardy,4,86,97,1.127906976744186,5.705882352941177,d,13,2,2,7,9,3,2,2,2,8,2,2,5,8,2,2,5,2,8,2,9,0,0,4.333333333333333
211,Okazaki,4,55,64,1.1636363636363636,3.764705882352941,a,6,7,1,0,0,6,2,0,9,1,1,1,0,2,1,4,16,1,1,2,1,2,0,3.8333333333333335
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
