,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
405,Mariappa,2,42,45,1.0714285714285714,1.5,a,0,0,0,1,-1,2,1,2,0,0,1,6,6,-1,2,2,1,0,0,0,0,0,0,0,6,2,1,8,5,1,0,3.8333333333333335
352,Naughton,2,46,94,2.0434782608695654,3.1333333333333333,a,7,0,12,1,6,1,2,6,1,1,2,1,9,2,1,7,0,1,2,0,2,0,0,6,2,2,11,0,2,7,0,4.0
520,Sánchez,2,60,84,1.4,2.8,a,0,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,6,0,6,2,8,8,6,2,0,5.333333333333333
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
363,Ki Sung-yueng,3,50,62,1.24,2.066666666666667,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,3,0,6.5
519,Clucas,3,47,63,1.3404255319148937,2.1,a,0,0,3,2,3,1,1,1,0,7,1,2,0,0,2,0,0,1,2,1,2,2,2,3,15,2,3,2,2,3,0,4.5
18,Ramsey,3,69,106,1.536231884057971,3.533333333333333,a,6,2,1,6,3,6,3,0,12,9,6,3,6,10,6,2,0,0,0,0,0,0,1,0,2,20,0,2,0,0,0,4.0
70,Groß,3,60,135,2.25,4.5,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,2,2,13,2,5,6,2,0,5.0
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
134,Benteke,4,76,72,0.9473684210526315,2.4,a,2,1,1,1,2,2,0,0,0,0,0,1,1,2,2,-1,2,11,0,2,2,5,5,5,8,5,5,2,5,1,0,4.333333333333333
240,Ederson,1,56,138,2.4642857142857144,4.6,a,6,2,2,2,6,6,8,1,6,1,2,6,2,2,3,3,7,2,6,6,14,3,1,3,6,2,2,15,6,7,0,6.333333333333333
328,Butland,1,50,95,1.9,3.1666666666666665,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,11,2,0,5.166666666666667
