,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
306,Forster,1,48,73,1.5208333333333333,4.294117647058823,a,6,3,11,1,7,3,9,1,6,2,2,2,2,5,3,3,1,4,2,0,0,0,0,0,1.0
350,Fabianski,1,46,92,2.0,5.411764705882353,a,6,1,7,4,11,1,3,6,2,2,2,3,9,5,1,6,2,9,3,1,3,2,3,0,3.5
97,Azpilicueta,2,70,121,1.7285714285714286,7.117647058823529,a,1,2,9,7,6,14,2,-1,7,8,12,6,3,0,2,2,2,7,6,12,6,1,7,0,6.5
7,Bellerín,2,61,93,1.5245901639344261,5.470588235294118,a,1,2,0,6,5,8,11,1,1,2,1,6,6,6,0,1,6,7,4,1,2,8,8,0,5.0
4,Koscielny,2,60,76,1.2666666666666666,4.470588235294118,i,0,0,0,6,7,6,0,2,0,2,0,8,9,6,0,2,9,8,1,1,9,0,0,0,3.1666666666666665
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
172,Mooy,3,54,82,1.5185185185185186,4.823529411764706,a,6,10,3,2,2,3,2,1,7,2,3,2,2,1,2,3,2,15,2,2,3,2,5,0,4.833333333333333
70,Groß,3,58,103,1.7758620689655173,6.0588235294117645,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,0,3.6666666666666665
300,Atsu,3,48,65,1.3541666666666667,3.823529411764706,a,2,2,6,1,9,2,2,5,3,2,3,0,0,0,0,1,2,1,15,1,3,3,2,0,4.166666666666667
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
48,Wilson,4,57,57,1.0,3.3529411764705883,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,0,4.833333333333333
488,Joselu,4,55,59,1.0727272727272728,3.4705882352941178,a,0,0,7,2,2,2,8,2,1,2,2,2,2,2,0,6,1,2,5,2,2,0,7,0,3.0
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
