,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PFA6,PFA3
12.0,Mustafi,2,54,88,1.6296296296296295,2.838709677419355,a,ARS,0,2,0,6,6,6,6,0,0,0,0,14,7,7,0,0,0,0,0,8,1,1,1,2,1,5,1,1,1,12,0,0,3.3333333333333335,2.1666666666666665
382.0,Trippier,2,52,81,1.5576923076923077,2.6129032258064515,a,TOT,0,1,2,10,6,1,14,8,6,0,0,1,5,0,2,2,0,0,0,0,0,0,0,0,12,1,6,0,0,4,0,0,1.8333333333333333,0.6666666666666666
313.0,Stephens,2,45,52,1.1555555555555554,1.6774193548387097,a,SOU,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,6,1,1,1,8,7,1,2,6,0,0,0,2.6666666666666665,1.0
475.0,Robertson,2,50,77,1.54,2.4838709677419355,a,LIV,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,9,1,6,1,0,1,1,6,1,6,6,6,1,11,0,5.166666666666667,3.0
520.0,Sánchez,2,60,84,1.4,2.7096774193548385,a,TOT,0,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,6,0,6,2,8,8,6,2,0,0,4.333333333333333,1.3333333333333333
199.0,Mahrez,3,88,161,1.8295454545454546,5.193548387096774,a,LEI,5,11,2,2,2,2,1,8,10,6,7,2,2,9,6,9,8,2,5,8,5,14,3,8,0,0,1,2,10,11,0,0,4.0,3.5
234.0,Salah,3,107,266,2.485981308411215,8.580645161290322,a,LIV,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,29,0,12.833333333333334,6.5
490.0,Pröpper,3,53,76,1.4339622641509433,2.4516129032258065,a,BHA,2,2,3,2,2,3,2,1,7,2,3,5,2,3,2,2,2,3,3,2,3,1,2,2,2,5,2,2,2,2,0,0,2.1666666666666665,0.6666666666666666
281.0,Mkhitaryan,3,77,90,1.1688311688311688,2.903225806451613,a,ARS,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,2,2,2,13,0,0,5.333333333333333,2.5
70.0,Groß,3,60,135,2.25,4.354838709677419,a,BHA,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,2,2,13,2,5,6,2,0,0,4.666666666666667,1.3333333333333333
616.0,Aubameyang,4,106,26,0.24528301886792453,0.8387096774193549,a,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,9,0,0,4.333333333333333,3.0
235.0,Firmino,4,97,163,1.6804123711340206,5.258064516129032,a,LIV,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,7,0,6.0,2.3333333333333335
71.0,Murray,4,59,99,1.6779661016949152,3.193548387096774,a,BHA,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,2,0,0,4.833333333333333,1.5
2.0,Cech,1,53,112,2.1132075471698113,3.6129032258064515,a,ARS,1,3,2,6,10,6,6,1,1,2,2,8,6,6,1,2,6,6,3,1,1,2,2,3,1,2,4,1,2,15,0,0,4.0,2.8333333333333335
214.0,Karius,1,48,58,1.2083333333333333,1.8709677419354838,a,LIV,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,8,1,6,0,5.833333333333333,2.5
