,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
135,Pickford,1,49,88,1.7959183673469388,5.176470588235294,a,6,4,2,2,1,3,2,2,3,1,1,2,0,13,9,2,10,2,9,10,2,2,0,5.833333333333333
54,Ryan,1,45,87,1.9333333333333333,5.117647058823529,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,0,5.0
220,Klavan,2,44,61,1.3863636363636365,3.588235294117647,a,0,7,0,0,2,0,0,0,0,6,2,6,2,0,0,2,9,6,1,6,1,11,0,5.666666666666667
468,Hegazi,2,45,66,1.4666666666666666,3.8823529411764706,a,15,8,2,0,6,1,1,1,2,0,1,0,2,1,7,2,6,1,1,6,2,1,0,2.8333333333333335
171,Zanka,2,46,65,1.4130434782608696,3.823529411764706,a,10,6,6,0,2,8,0,0,2,1,6,0,1,0,1,10,1,2,2,1,5,1,0,2.0
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
14,Sánchez,3,118,97,0.8220338983050848,5.705882352941177,a,0,0,2,1,1,5,6,0,12,2,1,7,11,8,1,5,3,3,7,15,5,2,0,5.833333333333333
132,Milivojevic,3,46,61,1.326086956521739,3.588235294117647,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,0,3.5
70,Groß,3,59,101,1.7118644067796611,5.9411764705882355,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,0,3.5
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
302,Pérez,4,52,47,0.9038461538461539,2.764705882352941,a,2,2,5,2,2,2,1,8,2,2,1,0,1,2,2,-1,1,2,1,0,1,9,0,2.3333333333333335
373,Ayew,4,50,62,1.24,3.6470588235294117,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,0,3.6666666666666665
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
