,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
332,Pieters,2,47,58,1.2340425531914894,1.9333333333333333,a,2,6,1,1,1,0,2,-1,1,6,1,1,1,1,2,0,2,2,0,0,0,6,0,6,5,1,5,0,6,0,0,2.8333333333333335
382,Trippier,2,53,81,1.528301886792453,2.7,a,0,1,2,10,6,1,14,8,6,0,0,1,5,0,2,2,0,0,0,0,0,0,0,0,12,1,6,0,0,4,0,3.8333333333333335
288,Yedlin,2,44,60,1.3636363636363635,2.0,a,0,0,0,0,2,2,2,0,8,2,2,3,-1,1,1,1,2,2,1,2,5,6,2,1,1,2,6,0,1,6,0,2.6666666666666665
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
252,De Bruyne,3,104,183,1.7596153846153846,6.1,a,3,2,3,9,6,3,11,9,6,2,10,8,2,13,4,2,10,10,3,6,3,12,2,6,14,2,13,3,3,3,0,6.333333333333333
519,Clucas,3,47,63,1.3404255319148937,2.1,a,0,0,3,2,3,1,1,1,0,7,1,2,0,0,2,0,0,1,2,1,2,2,2,3,15,2,3,2,2,3,0,4.5
132,Milivojevic,3,49,96,1.9591836734693877,3.2,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2,2,0,4.166666666666667
363,Ki Sung-yueng,3,50,62,1.24,2.066666666666667,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,3,0,6.5
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
188,Mounie,4,58,75,1.293103448275862,2.5,a,12,1,2,2,0,0,0,0,1,1,0,1,1,2,1,13,2,0,1,2,0,2,0,2,2,0,15,8,2,2,0,4.833333333333333
328,Butland,1,50,95,1.9,3.1666666666666665,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,11,2,0,5.166666666666667
54,Ryan,1,45,115,2.5555555555555554,3.8333333333333335,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,1,2,2,2,8,2,4,7,0,4.166666666666667
