,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
525,Hoedt,2,50,49,0.98,1.6896551724137931,a,0,0,0,1,7,2,0,0,0,1,0,1,2,1,2,0,0,2,5,0,5,0,1,3,1,4,1,2,8,0,3.1666666666666665
117,Tomkins,2,44,58,1.3181818181818181,2.0,a,1,2,1,0,0,0,0,0,0,1,0,0,1,6,0,0,3,6,2,7,6,2,6,0,1,2,1,9,1,0,2.3333333333333335
38,Aké,2,50,85,1.7,2.9310344827586206,a,3,1,0,1,2,1,9,2,2,2,7,6,6,1,2,1,2,-1,0,9,2,1,2,2,14,2,0,4,2,0,4.0
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
132,Milivojevic,3,49,94,1.9183673469387754,3.2413793103448274,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2,0,5.0
200,Albrighton,3,56,97,1.7321428571428572,3.3448275862068964,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,3,1,2,2,5,2,0,2.5
84,Gudmundsson,3,51,89,1.7450980392156863,3.0689655172413794,a,2,2,1,3,1,1,0,4,1,5,6,3,2,5,2,6,3,3,2,1,3,8,2,2,2,10,2,2,5,0,3.8333333333333335
519,Clucas,3,47,60,1.2765957446808511,2.0689655172413794,a,0,0,3,2,3,1,1,1,0,7,1,2,0,0,2,0,0,1,2,1,2,2,2,3,15,2,3,2,2,0,4.5
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
134,Benteke,4,76,71,0.9342105263157895,2.4482758620689653,a,2,1,1,1,2,2,0,0,0,0,0,1,1,2,2,-1,2,11,0,2,2,5,5,5,8,5,5,2,5,0,5.0
328,Butland,1,50,93,1.86,3.206896551724138,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,11,0,6.333333333333333
94,Courtois,1,54,111,2.0555555555555554,3.8275862068965516,a,1,6,6,2,6,6,3,2,2,6,7,6,3,6,2,2,2,6,6,6,6,1,6,0,1,1,6,2,2,0,2.0
