,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
525,Hoedt,2,50,49,0.98,1.6896551724137931,a,0,0,0,1,7,2,0,0,0,1,0,1,2,1,2,0,0,2,5,0,5,0,1,3,1,4,1,2,8,0,3.1666666666666665
382,Trippier,2,53,77,1.4528301886792452,2.6551724137931036,a,0,1,2,10,6,1,14,8,6,0,0,1,5,0,2,2,0,0,0,0,0,0,0,0,12,1,6,0,0,0,3.1666666666666665
443,Cresswell,2,51,80,1.5686274509803921,2.7586206896551726,a,0,1,1,6,9,1,6,2,0,4,0,1,2,0,5,5,6,8,1,3,0,0,1,2,2,0,11,0,3,0,3.0
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
298,Diamé,3,46,50,1.0869565217391304,1.7241379310344827,a,0,1,1,1,1,0,1,0,1,2,0,1,2,0,2,0,2,1,7,2,0,3,2,2,2,9,3,2,2,0,3.3333333333333335
342,Shaqiri,3,63,122,1.9365079365079365,4.206896551724138,a,2,1,2,7,7,1,5,2,0,5,13,5,9,2,8,2,3,2,2,2,0,1,2,6,3,8,10,9,3,0,6.5
250,Fernandinho,3,50,90,1.8,3.103448275862069,d,6,2,2,2,3,3,2,7,2,13,5,3,1,2,1,2,1,2,6,3,2,3,1,2,10,2,2,0,0,0,2.6666666666666665
414,Doucouré,3,55,117,2.1272727272727274,4.0344827586206895,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,2,2,10,2,3,3,0,3.6666666666666665
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
548,Niasse,4,49,72,1.469387755102041,2.4827586206896552,a,0,0,0,0,0,11,2,1,5,1,9,10,0,0,0,1,0,0,0,1,4,2,0,7,2,2,12,1,1,0,4.166666666666667
469,Pope,1,49,122,2.489795918367347,4.206896551724138,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,2,11,5,3,3,3,0,4.5
328,Butland,1,50,93,1.86,3.206896551724138,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,11,0,6.333333333333333
