,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
116,Speroni,1,41,36,0.8780487804878049,2.1176470588235294,a,0,0,0,0,0,0,0,3,2,1,2,2,0,0,11,2,2,6,2,3,0,0,0,2.1666666666666665
260,de Gea,1,59,114,1.9322033898305084,6.705882352941177,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,0,4.833333333333333
267,Valencia,2,67,94,1.4029850746268657,5.529411764705882,d,5,6,9,1,15,5,6,6,1,5,2,2,8,1,8,1,6,7,0,0,0,0,0,2.1666666666666665
468,Hegazi,2,45,66,1.4666666666666666,3.8823529411764706,a,15,8,2,0,6,1,1,1,2,0,1,0,2,1,7,2,6,1,1,6,2,1,0,2.8333333333333335
56,Duffy,2,46,66,1.434782608695652,3.8823529411764706,a,1,1,9,2,1,5,0,6,7,1,7,1,1,6,3,1,1,5,0,1,6,1,0,2.3333333333333335
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
300,Atsu,3,48,63,1.3125,3.7058823529411766,a,2,2,6,1,9,2,2,5,3,2,3,0,0,0,0,1,2,1,15,1,3,3,0,4.166666666666667
172,Mooy,3,54,77,1.4259259259259258,4.529411764705882,a,6,10,3,2,2,3,2,1,7,2,3,2,2,1,2,3,2,15,2,2,3,2,0,4.333333333333333
387,Eriksen,3,93,109,1.1720430107526882,6.411764705882353,a,12,7,3,8,3,9,3,11,2,2,3,2,2,2,8,8,7,7,3,5,0,2,0,4.0
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
373,Ayew,4,50,62,1.24,3.6470588235294117,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,0,3.6666666666666665
187,Depoitre,4,55,68,1.2363636363636363,4.0,a,0,0,0,1,9,2,2,2,9,2,2,2,2,1,2,1,5,13,9,1,2,1,0,5.166666666666667
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
