,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,PFA6
245,Otamendi,2,65,121,1.8615384615384616,4.653846153846154,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,0,3.1666666666666665
100,Alonso,2,74,138,1.864864864864865,5.3076923076923075,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,4.666666666666667
198,Maguire,2,55,97,1.7636363636363637,3.730769230769231,a,3,15,1,1,2,5,6,2,2,6,4,0,2,2,8,1,7,0,7,0,0,6,6,8,1,2,0,3.8333333333333335
33,Steve Cook,2,47,61,1.297872340425532,2.3461538461538463,a,2,0,0,1,0,1,0,1,1,2,15,5,7,1,0,1,0,1,0,1,2,9,2,2,6,1,0,3.6666666666666665
264,Jones,2,57,99,1.736842105263158,3.8076923076923075,a,6,6,7,1,6,9,6,7,1,9,1,0,0,0,0,0,8,2,1,1,9,6,6,9,-2,0,0,4.666666666666667
234,Salah,3,103,204,1.9805825242718447,7.846153846153846,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,0,8.333333333333334
414,Doucouré,3,53,99,1.8679245283018868,3.8076923076923075,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,2,2,0,0,2.6666666666666665
126,Zaha,3,69,72,1.0434782608695652,2.769230769230769,a,2,0,0,0,0,0,0,7,3,7,2,7,2,3,3,4,5,8,1,4,3,2,3,2,2,2,0,2.3333333333333335
519,Clucas,3,47,53,1.127659574468085,2.0384615384615383,a,0,0,3,2,3,1,1,1,0,7,1,2,0,0,2,0,0,1,2,1,2,2,2,3,15,2,0,4.333333333333333
227,Can,3,48,71,1.4791666666666667,2.730769230769231,a,5,0,3,1,4,2,0,3,1,1,2,1,0,5,8,0,2,0,8,3,1,2,2,2,14,1,0,3.6666666666666665
394,Kane,4,128,160,1.25,6.153846153846154,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,0,4.833333333333333
48,Wilson,4,59,73,1.2372881355932204,2.8076923076923075,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,2,12,2,0,6.0
92,Gray,4,63,64,1.0158730158730158,2.4615384615384617,a,1,4,2,2,2,8,1,2,1,1,5,5,6,2,1,1,1,1,2,0,1,7,6,1,1,0,0,2.6666666666666665
328,Butland,1,50,73,1.46,2.8076923076923075,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,0,4.333333333333333
469,Pope,1,49,113,2.306122448979592,4.346153846153846,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,2,11,5,0,4.666666666666667
