,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
135,Pickford,1,49,90,1.836734693877551,5.294117647058823,a,6,4,2,2,1,3,2,2,3,1,1,2,0,13,9,2,10,2,9,10,2,2,2,0,4.5
350,Fabianski,1,46,92,2.0,5.411764705882353,a,6,1,7,4,11,1,3,6,2,2,2,3,9,5,1,6,2,9,3,1,3,2,3,0,3.5
117,Tomkins,2,43,44,1.0232558139534884,2.588235294117647,a,1,2,1,0,0,0,0,0,0,1,0,0,1,6,0,0,3,6,2,7,6,2,6,0,4.833333333333333
7,Bellerín,2,61,93,1.5245901639344261,5.470588235294118,a,1,2,0,6,5,8,11,1,1,2,1,6,6,6,0,1,6,7,4,1,2,8,8,0,5.0
215,Lovren,2,53,61,1.150943396226415,3.588235294117647,a,1,1,5,0,0,0,2,7,0,0,1,5,0,6,2,1,6,13,1,0,2,7,1,0,4.0
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
200,Albrighton,3,55,82,1.490909090909091,4.823529411764706,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,0,5.333333333333333
317,Ward-Prowse,3,50,47,0.94,2.764705882352941,a,3,1,1,1,1,1,0,0,0,5,1,1,5,0,1,2,1,2,2,0,2,2,15,0,3.8333333333333335
414,Doucouré,3,53,95,1.7924528301886793,5.588235294117647,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,0,4.0
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
161,Rooney,4,75,94,1.2533333333333334,5.529411764705882,a,9,8,1,1,2,1,1,9,6,2,2,0,0,15,5,8,8,13,0,0,1,1,1,0,2.6666666666666665
48,Wilson,4,57,57,1.0,3.3529411764705883,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,0,4.833333333333333
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
