,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,PFA6
245,Otamendi,2,65,121,1.8615384615384616,4.653846153846154,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,0,3.1666666666666665
100,Alonso,2,74,138,1.864864864864865,5.3076923076923075,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,4.666666666666667
289,Clark,2,44,64,1.4545454545454546,2.4615384615384617,d,1,2,15,6,1,2,2,0,0,0,1,0,1,8,0,1,0,0,1,0,8,6,2,3,2,2,0,3.8333333333333335
38,Aké,2,50,79,1.58,3.0384615384615383,a,3,1,0,1,2,1,9,2,2,2,7,6,6,1,2,1,2,-1,0,9,2,1,2,2,14,2,0,3.8333333333333335
380,Vertonghen,2,60,85,1.4166666666666667,3.269230769230769,a,6,0,2,6,7,1,6,5,5,2,9,1,1,0,1,2,6,0,6,1,0,2,6,2,7,1,0,3.0
234,Salah,3,103,204,1.9805825242718447,7.846153846153846,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,0,8.333333333333334
247,Sterling,3,90,165,1.8333333333333333,6.346153846153846,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,10,3,0,4.833333333333333
47,Fraser,3,51,62,1.2156862745098038,2.3846153846153846,a,2,2,0,1,2,0,1,0,0,0,0,0,0,1,10,2,2,1,2,2,15,0,5,9,3,2,0,5.666666666666667
256,Bernardo Silva,3,74,62,0.8378378378378378,2.3846153846153846,a,1,1,2,0,1,1,1,6,6,2,1,1,0,1,1,1,6,4,4,3,3,1,6,1,3,5,0,3.1666666666666665
478,Murphy,3,50,38,0.76,1.4615384615384615,a,0,1,1,1,0,0,0,1,0,1,1,2,2,2,2,2,0,2,1,2,1,6,0,9,1,0,0,2.8333333333333335
394,Kane,4,128,160,1.25,6.153846153846154,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,0,4.833333333333333
71,Murray,4,57,76,1.3333333333333333,2.923076923076923,a,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,0,4.5
373,Jordan Ayew,4,53,82,1.5471698113207548,3.1538461538461537,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,8,2,8,2,0,4.833333333333333
115,Hennessey,1,43,56,1.302325581395349,2.1538461538461537,a,2,9,1,2,3,1,1,0,0,0,0,0,2,9,0,0,0,0,0,0,7,2,8,2,2,5,0,4.333333333333333
163,Lössl,1,46,98,2.130434782608696,3.769230769230769,a,9,8,6,1,2,7,1,1,5,8,8,0,2,0,1,6,1,2,3,3,9,1,0,2,2,10,0,4.0
