,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
352,Naughton,2,46,87,1.891304347826087,3.0,a,7,0,12,1,6,1,2,6,1,1,2,1,9,2,1,7,0,1,2,0,2,0,0,6,2,2,11,0,2,0,3.8333333333333335
401,Holebas,2,48,58,1.2083333333333333,2.0,d,4,6,0,6,-2,2,7,2,-1,2,3,1,0,0,0,1,1,1,2,0,0,0,0,0,5,2,1,7,8,0,3.8333333333333335
382,Trippier,2,53,77,1.4528301886792452,2.6551724137931036,a,0,1,2,10,6,1,14,8,6,0,0,1,5,0,2,2,0,0,0,0,0,0,0,0,12,1,6,0,0,0,3.1666666666666665
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
317,Ward-Prowse,3,51,73,1.4313725490196079,2.5172413793103448,a,3,1,1,1,1,1,0,0,0,5,1,1,5,0,1,2,1,2,2,0,2,2,15,2,8,12,2,2,0,0,4.333333333333333
609,Deulofeu,3,58,21,0.3620689655172414,0.7241379310344828,i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,3,0,0,3.5
337,Allen,3,51,88,1.7254901960784315,3.0344827586206895,a,1,3,1,2,6,2,1,0,2,2,2,2,2,2,8,2,2,2,12,6,0,1,2,11,3,2,2,4,3,0,4.166666666666667
42,Stanislas,3,59,57,0.9661016949152542,1.9655172413793103,a,0,0,0,0,0,1,3,2,13,2,0,0,0,0,2,2,2,1,1,0,0,0,0,4,12,1,7,2,2,0,4.666666666666667
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
417,Deeney,4,63,61,0.9682539682539683,2.103448275862069,a,0,0,1,1,1,4,2,6,2,1,0,0,0,5,2,2,2,-2,0,0,0,0,4,2,2,6,2,9,9,0,5.0
536,Karnezis,1,45,30,0.6666666666666666,1.0344827586206897,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,7,8,0,5.0
260,de Gea,1,59,142,2.406779661016949,4.896551724137931,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,7,6,2,6,2,4,1,0,3.5
