,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
352,Naughton,2,46,94,2.0434782608695654,3.1333333333333333,a,7,0,12,1,6,1,2,6,1,1,2,1,9,2,1,7,0,1,2,0,2,0,0,6,2,2,11,0,2,7,0,4.0
379,Walker,2,66,124,1.878787878787879,4.133333333333334,a,6,-2,0,9,10,6,6,2,6,3,2,9,2,2,2,1,0,2,6,6,7,2,3,2,6,2,2,10,6,6,0,5.333333333333333
404,Janmaat,2,48,51,1.0625,1.7,a,1,0,0,7,-1,0,0,0,0,0,0,0,0,0,0,2,9,-1,2,2,1,1,5,2,0,8,1,5,6,1,0,3.5
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
363,Ki Sung-yueng,3,50,62,1.24,2.066666666666667,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,3,0,6.5
390,Son,3,82,151,1.8414634146341464,5.033333333333333,a,1,1,3,1,3,0,1,3,7,3,10,1,2,1,7,16,8,2,3,14,0,9,13,2,3,2,3,1,16,15,0,6.666666666666667
63,Stephens,3,45,73,1.6222222222222222,2.433333333333333,d,2,2,3,2,2,6,2,2,3,2,3,2,2,3,2,2,2,2,3,1,3,2,2,2,2,1,7,5,1,0,0,2.6666666666666665
227,Can,3,49,91,1.8571428571428572,3.033333333333333,a,5,0,3,1,4,2,0,3,1,1,2,1,0,5,8,0,2,0,8,3,1,2,2,2,14,1,2,13,3,2,0,5.833333333333333
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
71,Murray,4,59,99,1.6779661016949152,3.3,a,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,2,0,6.166666666666667
328,Butland,1,50,95,1.9,3.1666666666666665,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,11,2,0,5.166666666666667
214,Karius,1,48,52,1.0833333333333333,1.7333333333333334,a,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,8,1,0,5.833333333333333
