,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PFA6,PFA3
311.0,van Dijk,2,57,50,0.8771929824561403,1.6129032258064515,a,LIV,0,0,0,0,1,0,1,1,9,2,2,1,2,1,3,2,0,0,0,0,0,0,0,2,0,1,7,2,6,1,6,0,3.8333333333333335,2.1666666666666665
381.0,Davies,2,59,119,2.016949152542373,3.838709677419355,a,TOT,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,0,4.333333333333333,1.0
475.0,Robertson,2,50,77,1.54,2.4838709677419355,a,LIV,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,9,1,6,1,0,1,1,6,1,6,6,6,1,11,0,5.166666666666667,3.0
525.0,Hoedt,2,50,49,0.98,1.5806451612903225,a,SOU,0,0,0,1,7,2,0,0,0,1,0,1,2,1,2,0,0,2,5,0,5,0,1,3,1,4,1,2,8,0,0,0,2.5,1.3333333333333333
532.0,Aurier,2,59,74,1.2542372881355932,2.3870967741935485,a,TOT,0,0,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0,0,0,6,7,13,0,0,4.333333333333333,3.3333333333333335
199.0,Mahrez,3,88,161,1.8295454545454546,5.193548387096774,a,LEI,5,11,2,2,2,2,1,8,10,6,7,2,2,9,6,9,8,2,5,8,5,14,3,8,0,0,1,2,10,11,0,0,4.0,3.5
234.0,Salah,3,107,266,2.485981308411215,8.580645161290322,a,LIV,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,29,0,12.833333333333334,6.5
200.0,Albrighton,3,56,101,1.8035714285714286,3.2580645161290325,a,LEI,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,3,1,2,2,5,2,4,0,0,2.5,1.0
389.0,Wanyama,3,48,20,0.4166666666666667,0.6451612903225806,a,TOT,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,1,3,0,2,0,0,2.1666666666666665,0.3333333333333333
281.0,Mkhitaryan,3,77,90,1.1688311688311688,2.903225806451613,a,ARS,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,2,2,2,13,0,0,5.333333333333333,2.5
616.0,Aubameyang,4,106,26,0.24528301886792453,0.8387096774193549,a,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,9,0,0,4.333333333333333,3.0
258.0,Iheanacho,4,65,33,0.5076923076923077,1.064516129032258,a,LEI,1,0,0,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,4,11,0,0,3.6666666666666665,2.5
71.0,Murray,4,59,99,1.6779661016949152,3.193548387096774,a,BHA,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,2,0,0,4.833333333333333,1.5
189.0,Schmeichel,1,50,106,2.12,3.4193548387096775,a,LEI,2,6,9,2,2,2,10,2,3,6,2,1,3,2,10,1,3,2,2,-1,2,6,11,9,1,2,1,2,1,2,0,0,1.3333333333333333,0.5
54.0,Ryan,1,45,115,2.5555555555555554,3.7096774193548385,a,BHA,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,1,2,2,2,8,2,4,7,0,0,3.8333333333333335,1.8333333333333333
