,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
4,Koscielny,2,60,98,1.6333333333333333,3.3793103448275863,a,0,0,0,6,7,6,0,2,0,2,0,8,9,6,0,2,9,8,1,1,9,0,0,10,1,7,2,1,1,0,3.6666666666666665
102,Moses,2,64,94,1.46875,3.2413793103448274,a,0,2,5,2,6,6,0,1,0,0,0,0,0,1,9,1,2,7,6,6,1,1,6,17,0,0,12,1,2,0,5.333333333333333
475,Robertson,2,49,65,1.3265306122448979,2.2413793103448274,a,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,9,1,6,1,0,1,1,6,1,6,6,6,0,4.333333333333333
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
132,Milivojevic,3,49,94,1.9183673469387754,3.2413793103448274,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2,0,5.0
342,Shaqiri,3,63,122,1.9365079365079365,4.206896551724138,a,2,1,2,7,7,1,5,2,0,5,13,5,9,2,8,2,3,2,2,2,0,1,2,6,3,8,10,9,3,0,6.5
363,Ki Sung-yueng,3,49,59,1.2040816326530612,2.0344827586206895,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,0,6.5
107,Matic,3,47,77,1.6382978723404256,2.6551724137931036,a,3,3,3,2,6,3,3,3,2,3,2,2,3,1,2,2,3,1,1,2,2,3,3,2,2,3,2,1,9,0,3.1666666666666665
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
188,Mounie,4,57,73,1.280701754385965,2.5172413793103448,a,12,1,2,2,0,0,0,0,1,1,0,1,1,2,1,13,2,0,1,2,0,2,0,2,2,0,15,8,2,0,4.833333333333333
536,Karnezis,1,45,30,0.6666666666666666,1.0344827586206897,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,7,8,0,5.0
214,Karius,1,48,51,1.0625,1.7586206896551724,a,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,8,0,6.0
