,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
245,Otamendi,2,65,113,1.7384615384615385,4.913043478260869,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,0
100,Alonso,2,73,137,1.8767123287671232,5.956521739130435,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,0
532,Aurier,2,59,48,0.8135593220338984,2.0869565217391304,d,0,0,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0
12,Mustafi,2,55,67,1.2181818181818183,2.9130434782608696,a,0,2,0,6,6,6,6,0,0,0,0,14,7,7,0,0,0,0,0,8,1,1,1,2,0
288,Yedlin,2,44,44,1.0,1.9130434782608696,a,0,0,0,0,2,2,2,0,8,2,2,3,-1,1,1,1,2,2,1,2,5,6,2,1,0
234,Salah,3,102,179,1.7549019607843137,7.782608695652174,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,0
247,Sterling,3,89,152,1.7078651685393258,6.608695652173913,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,0
70,Groß,3,58,105,1.8103448275862069,4.565217391304348,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,2,0
200,Albrighton,3,56,85,1.5178571428571428,3.6956521739130435,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,3,0
23,Xhaka,3,52,74,1.4230769230769231,3.217391304347826,a,10,2,1,3,3,3,3,5,5,2,1,2,3,3,2,2,3,2,7,2,2,2,1,5,0
394,Kane,4,130,154,1.1846153846153846,6.695652173913044,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,0
437,Rodriguez,4,55,65,1.1818181818181819,2.8260869565217392,a,1,2,5,2,2,2,2,2,2,6,2,2,2,0,2,2,1,1,1,2,8,2,5,9,0
48,Wilson,4,58,59,1.0172413793103448,2.5652173913043477,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,2,0
469,Pope,1,48,97,2.0208333333333335,4.217391304347826,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,2,0
260,de Gea,1,59,127,2.152542372881356,5.521739130434782,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,7,6,0
