,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
99,Zouma,2,54,73,1.3518518518518519,2.433333333333333,a,2,7,2,1,1,0,2,-1,1,8,1,8,1,1,2,0,6,0,2,1,0,2,1,6,6,1,2,2,7,1,0,3.1666666666666665
222,Milner,2,60,54,0.9,1.8,a,1,6,1,0,2,1,0,0,0,12,1,1,2,1,2,2,0,0,1,1,4,1,-1,0,6,5,1,2,1,1,0,2.6666666666666665
380,Vertonghen,2,60,103,1.7166666666666666,3.433333333333333,a,6,0,2,6,7,1,6,5,5,2,9,1,1,0,1,2,6,0,6,1,0,2,6,2,7,1,8,0,8,2,0,4.333333333333333
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
414,Doucouré,3,55,119,2.1636363636363636,3.966666666666667,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,2,2,10,2,3,3,2,0,3.6666666666666665
227,Can,3,49,91,1.8571428571428572,3.033333333333333,a,5,0,3,1,4,2,0,3,1,1,2,1,0,5,8,0,2,0,8,3,1,2,2,2,14,1,2,13,3,2,0,5.833333333333333
390,Son,3,82,151,1.8414634146341464,5.033333333333333,a,1,1,3,1,3,0,1,3,7,3,10,1,2,1,7,16,8,2,3,14,0,9,13,2,3,2,3,1,16,15,0,6.666666666666667
337,Allen,3,51,89,1.7450980392156863,2.966666666666667,a,1,3,1,2,6,2,1,0,2,2,2,2,2,2,8,2,2,2,12,6,0,1,2,11,3,2,2,4,3,1,0,2.5
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
71,Murray,4,59,99,1.6779661016949152,3.3,a,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,2,0,6.166666666666667
421,Foster,1,44,90,2.0454545454545454,3.0,a,7,6,2,2,5,2,1,0,3,1,2,1,2,2,6,2,10,1,1,8,3,2,7,3,3,1,2,2,2,1,0,1.8333333333333333
240,Ederson,1,56,138,2.4642857142857144,4.6,a,6,2,2,2,6,6,8,1,6,1,2,6,2,2,3,3,7,2,6,6,14,3,1,3,6,2,2,15,6,7,0,6.333333333333333
