,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
54,Ryan,1,45,87,1.9333333333333333,5.117647058823529,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,0,5.0
350,Fabianski,1,46,89,1.934782608695652,5.235294117647059,a,6,1,7,4,11,1,3,6,2,2,2,3,9,5,1,6,2,9,3,1,3,2,0,3.3333333333333335
461,Suttner,2,43,37,0.8604651162790697,2.176470588235294,a,1,1,7,2,1,6,0,2,0,0,0,0,0,6,0,1,0,0,8,1,0,1,0,1.6666666666666667
97,Azpilicueta,2,70,114,1.6285714285714286,6.705882352941177,a,1,2,9,7,6,14,2,-1,7,8,12,6,3,0,2,2,2,7,6,12,6,1,0,5.666666666666667
77,Mee,2,49,70,1.4285714285714286,4.117647058823529,a,0,2,2,6,2,6,7,2,1,9,8,6,2,2,1,0,0,6,1,1,5,1,0,2.3333333333333335
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
106,Willian,3,67,81,1.208955223880597,4.764705882352941,a,6,3,3,1,3,3,1,2,4,1,1,1,6,3,1,1,16,3,3,1,17,1,0,6.833333333333333
200,Albrighton,3,55,79,1.4363636363636363,4.647058823529412,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,0,5.0
131,Townsend,3,56,72,1.2857142857142858,4.235294117647059,d,1,2,2,2,2,2,2,2,2,6,1,2,6,3,3,2,2,8,2,12,3,5,0,5.333333333333333
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
161,Rooney,4,75,93,1.24,5.470588235294118,a,9,8,1,1,2,1,1,9,6,2,2,0,0,15,5,8,8,13,0,0,1,1,0,3.8333333333333335
373,Ayew,4,50,62,1.24,3.6470588235294117,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,0,3.6666666666666665
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
