,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
469,Pope,1,48,93,1.9375,5.470588235294118,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,0,4.666666666666667
2,Cech,1,54,82,1.5185185185185186,4.823529411764706,a,1,3,2,6,10,6,6,1,1,2,2,8,6,6,1,2,6,6,3,1,1,2,0,3.1666666666666665
444,Ogbonna,2,45,38,0.8444444444444444,2.235294117647059,a,-1,1,1,0,0,1,0,0,0,1,0,1,2,0,7,9,7,6,1,0,0,2,0,2.6666666666666665
77,Mee,2,49,70,1.4285714285714286,4.117647058823529,a,0,2,2,6,2,6,7,2,1,9,8,6,2,2,1,0,0,6,1,1,5,1,0,2.3333333333333335
468,Hegazi,2,45,66,1.4666666666666666,3.8823529411764706,a,15,8,2,0,6,1,1,1,2,0,1,0,2,1,7,2,6,1,1,6,2,1,0,2.8333333333333335
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
127,McArthur,3,43,47,1.0930232558139534,2.764705882352941,a,0,1,2,2,1,0,1,2,2,0,0,8,1,1,3,0,9,3,1,1,0,9,0,3.8333333333333335
453,Lanzini,3,68,56,0.8235294117647058,3.2941176470588234,a,0,0,1,0,0,0,1,2,2,2,6,2,7,0,2,7,2,15,0,2,0,5,0,4.0
131,Townsend,3,56,72,1.2857142857142858,4.235294117647059,d,1,2,2,2,2,2,2,2,2,6,1,2,6,3,3,2,2,8,2,12,3,5,0,5.333333333333333
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
209,Vardy,4,86,97,1.127906976744186,5.705882352941177,d,13,2,2,7,9,3,2,2,2,8,2,2,5,8,2,2,5,2,8,2,9,0,0,4.333333333333333
373,Ayew,4,50,62,1.24,3.6470588235294117,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,0,3.6666666666666665
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
