,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
350,Fabianski,1,46,92,2.0,5.411764705882353,a,6,1,7,4,11,1,3,6,2,2,2,3,9,5,1,6,2,9,3,1,3,2,3,0,3.5
240,Ederson,1,55,97,1.7636363636363637,5.705882352941177,a,6,2,2,2,6,6,8,1,6,1,2,6,2,2,3,3,7,2,6,6,14,3,1,0,5.333333333333333
55,Dunk,2,45,60,1.3333333333333333,3.5294117647058822,a,-1,1,6,2,1,6,1,1,6,2,5,1,0,5,-2,1,1,8,7,1,6,1,1,0,4.0
381,Davies,2,55,79,1.4363636363636363,4.647058823529412,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,0,2.6666666666666665
423,Evans,2,49,61,1.2448979591836735,3.588235294117647,a,0,0,0,1,6,0,6,2,1,0,2,0,2,-1,6,1,6,5,1,6,1,1,15,0,4.833333333333333
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
70,Groß,3,58,103,1.7758620689655173,6.0588235294117645,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,0,3.6666666666666665
200,Albrighton,3,55,82,1.490909090909091,4.823529411764706,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,0,5.333333333333333
199,Mahrez,3,86,129,1.5,7.588235294117647,a,5,11,2,2,2,2,1,8,10,6,7,2,2,9,6,9,8,2,5,8,5,14,3,0,6.166666666666667
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
437,Rodriguez,4,55,56,1.018181818181818,3.2941176470588234,a,1,2,5,2,2,2,2,2,2,6,2,2,2,0,2,2,1,1,1,2,8,2,5,0,3.1666666666666665
373,Ayew,4,51,70,1.3725490196078431,4.117647058823529,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,8,0,4.666666666666667
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
