,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,PFA6
260,de Gea,1,59,93.0,1.576271186440678,5.470588235294118,a,6.0,6.0,7.0,2.0,7.0,8.0,6.0,9.0,1.0,9.0,4.0,3.0,6.0,1.0,8.0,2.0,11.0,3.0,1.0,1.0,7.0,6.0,4.833333333333333
350,Fabianski,1,46,74.0,1.608695652173913,4.352941176470588,a,6.0,1.0,7.0,4.0,11.0,1.0,3.0,6.0,2.0,2.0,2.0,3.0,9.0,5.0,1.0,6.0,2.0,9.0,3.0,1.0,3.0,2.0,3.3333333333333335
171,Zanka,2,46,46.0,1.0,2.7058823529411766,a,10.0,6.0,6.0,0.0,2.0,8.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,10.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0
10,Monreal,2,56,83.0,1.4821428571428572,4.882352941176471,i,1.0,2.0,0.0,7.0,9.0,7.0,15.0,1.0,7.0,2.0,0.0,5.0,6.0,6.0,1.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,2.3333333333333335
99,Zouma,2,54,40.0,0.7407407407407407,2.3529411764705883,a,2.0,7.0,2.0,1.0,1.0,0.0,2.0,-1.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,1.8333333333333333
245,Otamendi,2,64,79.0,1.234375,4.647058823529412,a,8.0,2.0,1.0,5.0,12.0,6.0,5.0,1.0,15.0,0.0,1.0,0.0,0.0,2.0,11.0,11.0,6.0,1.0,7.0,8.0,8.0,2.0,5.333333333333333
100,Alonso,2,72,90.0,1.25,5.294117647058823,a,0.0,16.0,6.0,2.0,6.0,0.0,2.0,1.0,1.0,6.0,6.0,14.0,2.0,6.0,2.0,0.0,6.0,14.0,6.0,14.0,6.0,7.0,8.833333333333334
84,Gudmundsson,3,50,48.0,0.96,2.823529411764706,a,2.0,2.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,5.0,6.0,3.0,2.0,5.0,2.0,6.0,3.0,3.0,2.0,1.0,3.0,8.0,3.3333333333333335
70,Groß,3,59,82.0,1.3898305084745763,4.823529411764706,a,2.0,2.0,3.0,18.0,7.0,3.0,1.0,6.0,6.0,7.0,3.0,10.0,5.0,3.0,2.0,2.0,1.0,3.0,11.0,1.0,3.0,2.0,3.5
527,Carrillo,3,55,33.0,0.6,1.9411764705882353,a,0.0,0.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,9.0,5.0,4.166666666666667
234,Salah,3,101,124.0,1.2277227722772277,7.294117647058823,d,11.0,1.0,11.0,1.0,10.0,7.0,2.0,3.0,7.0,4.0,15.0,16.0,7.0,13.0,5.0,11.0,3.0,8.0,10.0,9.0,14.0,0.0,7.333333333333333
247,Sterling,3,89,112.0,1.2584269662921348,6.588235294117647,a,0.0,6.0,4.0,0.0,9.0,13.0,3.0,15.0,0.0,7.0,5.0,3.0,13.0,9.0,2.0,2.0,9.0,12.0,13.0,11.0,1.0,9.0,9.166666666666666
211,Okazaki,4,55,52.0,0.9454545454545454,3.0588235294117645,a,6.0,7.0,1.0,0.0,0.0,6.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,16.0,1.0,1.0,2.0,1.0,2.0,3.8333333333333335
161,Rooney,4,75,82.0,1.0933333333333333,4.823529411764706,a,9.0,8.0,1.0,1.0,2.0,1.0,1.0,9.0,6.0,2.0,2.0,0.0,0.0,15.0,5.0,8.0,8.0,13.0,0.0,0.0,1.0,1.0,3.8333333333333335
394,Kane,4,129,96.0,0.7441860465116279,5.647058823529412,a,1.0,1.0,2.0,13.0,2.0,13.0,13.0,2.0,16.0,0.0,2.0,1.0,8.0,6.0,2.0,12.0,2.0,1.0,17.0,17.0,0.0,0.0,6.166666666666667
