,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
475,Robertson,2,49,66,1.346938775510204,2.2,a,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,9,1,6,1,0,1,1,6,1,6,6,6,1,0,4.333333333333333
290,Lascelles,2,47,95,2.021276595744681,3.1666666666666665,a,1,1,6,15,8,1,2,1,6,2,1,0,0,0,0,0,2,2,1,2,6,8,2,1,10,2,6,1,1,7,0,4.5
354,Fernández,2,45,77,1.711111111111111,2.566666666666667,a,9,0,6,2,8,1,2,7,-1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,11,2,10,6,0,2,6,0,4.333333333333333
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
110,Kenedy,3,47,33,0.7021276595744681,1.1,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,3,2,16,0,5.5
23,Xhaka,3,52,88,1.6923076923076923,2.933333333333333,a,10,2,1,3,3,3,3,5,5,2,1,2,3,3,2,2,3,2,7,2,2,2,1,5,2,2,2,2,4,2,0,2.3333333333333335
84,Gudmundsson,3,51,95,1.8627450980392157,3.1666666666666665,a,2,2,1,3,1,1,0,4,1,5,6,3,2,5,2,6,3,3,2,1,3,8,2,2,2,10,2,2,5,6,0,4.5
281,Mkhitaryan,3,77,90,1.1688311688311688,3.0,a,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,2,2,2,13,0,5.5
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
518,Wood,4,62,69,1.1129032258064515,2.3,a,0,0,6,9,2,2,2,7,1,0,2,0,1,8,2,2,2,2,1,0,0,0,0,0,0,0,0,0,5,15,0,3.3333333333333335
536,Karnezis,1,45,32,0.7111111111111111,1.0666666666666667,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,7,8,2,0,5.0
214,Karius,1,48,52,1.0833333333333333,1.7333333333333334,a,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,8,1,0,5.833333333333333
