,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
379,Walker,2,66,118,1.7878787878787878,4.068965517241379,a,6,-2,0,9,10,6,6,2,6,3,2,9,2,2,2,1,0,2,6,6,7,2,3,2,6,2,2,10,6,0,4.666666666666667
525,Hoedt,2,50,49,0.98,1.6896551724137931,a,0,0,0,1,7,2,0,0,0,1,0,1,2,1,2,0,0,2,5,0,5,0,1,3,1,4,1,2,8,0,3.1666666666666665
219,Matip,2,54,73,1.3518518518518519,2.5172413793103448,a,1,6,6,0,2,0,3,6,0,6,10,0,2,6,0,0,0,0,0,6,2,1,1,1,6,0,5,2,1,0,2.5
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
337,Allen,3,51,88,1.7254901960784315,3.0344827586206895,a,1,3,1,2,6,2,1,0,2,2,2,2,2,2,8,2,2,2,12,6,0,1,2,11,3,2,2,4,3,0,4.166666666666667
43,Gosling,3,48,46,0.9583333333333334,1.5862068965517242,a,0,0,2,2,1,2,0,2,0,0,0,1,1,0,0,0,1,0,2,12,2,1,1,1,3,1,1,9,1,0,2.6666666666666665
131,Townsend,3,56,90,1.6071428571428572,3.103448275862069,a,1,2,2,2,2,2,2,2,2,6,1,2,6,3,3,2,2,8,2,12,3,5,0,0,5,2,2,3,6,0,3.0
298,Diamé,3,46,50,1.0869565217391304,1.7241379310344827,a,0,1,1,1,1,0,1,0,1,2,0,1,2,0,2,0,2,1,7,2,0,3,2,2,2,9,3,2,2,0,3.3333333333333335
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
437,Rodriguez,4,54,74,1.3703703703703705,2.5517241379310347,a,1,2,5,2,2,2,2,2,2,6,2,2,2,0,2,2,1,1,1,2,8,2,5,9,2,1,2,2,2,0,3.0
621,Dubravka,1,45,12,0.26666666666666666,0.41379310344827586,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,2.0
421,Foster,1,44,89,2.022727272727273,3.0689655172413794,a,7,6,2,2,5,2,1,0,3,1,2,1,2,2,6,2,10,1,1,8,3,2,7,3,3,1,2,2,2,0,2.1666666666666665
