,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
354,Fernández,2,45,71,1.5777777777777777,2.4482758620689653,a,9,0,6,2,8,1,2,7,-1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,11,2,10,6,0,2,0,5.166666666666667
404,Janmaat,2,48,50,1.0416666666666667,1.7241379310344827,a,1,0,0,7,-1,0,0,0,0,0,0,0,0,0,0,2,9,-1,2,2,1,1,5,2,0,8,1,5,6,0,3.6666666666666665
102,Moses,2,64,94,1.46875,3.2413793103448274,a,0,2,5,2,6,6,0,1,0,0,0,0,0,1,9,1,2,7,6,6,1,1,6,17,0,0,12,1,2,0,5.333333333333333
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
279,Lingard,3,61,106,1.7377049180327868,3.6551724137931036,a,1,0,4,1,4,0,1,1,2,1,1,0,0,12,15,2,3,10,5,13,2,8,2,3,2,3,2,6,2,0,3.0
295,Ritchie,3,54,87,1.6111111111111112,3.0,a,1,1,6,5,11,2,2,2,6,2,2,2,2,11,2,2,2,1,2,0,3,3,2,0,1,2,11,1,0,0,2.5
363,Ki Sung-yueng,3,49,59,1.2040816326530612,2.0344827586206895,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,0,6.5
517,Izquierdo,3,59,72,1.2203389830508475,2.4827586206896552,a,0,0,1,0,1,0,2,1,8,2,3,8,1,2,1,1,2,1,1,2,0,8,1,1,2,8,7,6,2,0,4.333333333333333
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
188,Mounie,4,57,73,1.280701754385965,2.5172413793103448,a,12,1,2,2,0,0,0,0,1,1,0,1,1,2,1,13,2,0,1,2,0,2,0,2,2,0,15,8,2,0,4.833333333333333
536,Karnezis,1,45,30,0.6666666666666666,1.0344827586206897,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,7,8,0,5.0
214,Karius,1,48,51,1.0625,1.7586206896551724,a,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,8,0,6.0
