,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,PFA6
54,Ryan,1,45,87,1.9333333333333333,5.117647058823529,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,0,5.0
469,Pope,1,48,93,1.9375,5.470588235294118,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,0,4.666666666666667
56,Duffy,2,46,66,1.434782608695652,3.8823529411764706,a,1,1,9,2,1,5,0,6,7,1,7,1,1,6,3,1,1,5,0,1,6,1,0,2.3333333333333335
12,Mustafi,2,54,64,1.1851851851851851,3.764705882352941,a,0,2,0,6,6,6,6,0,0,0,0,14,7,7,0,0,0,0,0,8,1,1,0,1.6666666666666667
4,Koscielny,2,60,76,1.2666666666666666,4.470588235294118,d,0,0,0,6,7,6,0,2,0,2,0,8,9,6,0,2,9,8,1,1,9,0,0,4.666666666666667
245,Otamendi,2,65,112,1.7230769230769232,6.588235294117647,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,0,5.333333333333333
100,Alonso,2,73,123,1.6849315068493151,7.235294117647059,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,0,8.833333333333334
300,Atsu,3,48,63,1.3125,3.7058823529411766,a,2,2,6,1,9,2,2,5,3,2,3,0,0,0,0,1,2,1,15,1,3,3,0,4.166666666666667
527,Carrillo,3,55,53,0.9636363636363636,3.1176470588235294,a,0,0,1,3,2,5,2,1,1,2,2,1,1,4,1,2,3,2,2,4,9,5,0,4.166666666666667
82,Arfield,3,49,52,1.0612244897959184,3.0588235294117645,d,0,0,2,0,10,2,2,1,2,0,0,0,0,0,1,11,6,3,2,5,3,2,0,3.5
234,Salah,3,101,168,1.6633663366336633,9.882352941176471,d,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,0,7.333333333333333
247,Sterling,3,89,146,1.6404494382022472,8.588235294117647,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,0,9.166666666666666
209,Vardy,4,86,97,1.127906976744186,5.705882352941177,d,13,2,2,7,9,3,2,2,2,8,2,2,5,8,2,2,5,2,8,2,9,0,0,4.333333333333333
373,Ayew,4,50,62,1.24,3.6470588235294117,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,0,3.6666666666666665
394,Kane,4,129,133,1.0310077519379846,7.823529411764706,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,0,6.5
