,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,PFA6
100,Alonso,2,72,139,1.9305555555555556,4.964285714285714,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,1,0,2.6666666666666665
381,Davies,2,57,113,1.9824561403508771,4.035714285714286,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,0,6.666666666666667
38,Aké,2,50,83,1.66,2.9642857142857144,a,3,1,0,1,2,1,9,2,2,2,7,6,6,1,2,1,2,-1,0,9,2,1,2,2,14,2,0,4,0,4.0
357,Mawson,2,51,94,1.8431372549019607,3.357142857142857,a,6,0,6,2,6,1,2,6,8,1,2,1,6,2,1,8,0,1,2,0,2,1,1,15,5,2,7,0,0,5.0
102,Moses,2,64,92,1.4375,3.2857142857142856,a,0,2,5,2,6,6,0,1,0,0,0,0,0,1,9,1,2,7,6,6,1,1,6,17,0,0,12,1,0,6.0
234,Salah,3,105,227,2.1619047619047618,8.107142857142858,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,0,9.833333333333334
47,Fraser,3,51,69,1.3529411764705883,2.4642857142857144,a,2,2,0,1,2,0,1,0,0,0,0,0,0,1,10,2,2,1,2,2,15,0,5,9,3,2,5,2,0,4.333333333333333
317,Ward-Prowse,3,51,73,1.4313725490196079,2.607142857142857,a,3,1,1,1,1,1,0,0,0,5,1,1,5,0,1,2,1,2,2,0,2,2,15,2,8,12,2,2,0,6.833333333333333
280,Martial,3,80,118,1.475,4.214285714285714,a,10,6,3,1,6,0,4,3,0,6,1,7,3,8,5,2,3,1,5,0,1,11,12,10,2,1,2,5,0,5.333333333333333
340,Arnautovic,3,69,85,1.2318840579710144,3.0357142857142856,a,2,-2,0,0,1,2,0,1,2,0,1,1,2,2,1,7,3,9,7,15,0,0,16,5,0,0,8,2,0,5.166666666666667
394,Kane,4,129,172,1.3333333333333333,6.142857142857143,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,0,6.5
48,Wilson,4,60,77,1.2833333333333334,2.75,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,2,12,2,2,2,0,5.333333333333333
487,Chicharito,4,67,79,1.1791044776119404,2.8214285714285716,a,2,13,1,2,2,5,2,2,1,9,2,0,0,0,0,0,1,1,1,4,0,2,0,8,5,8,7,1,0,4.833333333333333
375,Lloris,1,54,98,1.8148148148148149,3.5,a,7,1,2,6,6,1,6,6,4,2,0,2,2,1,2,2,9,2,6,2,0,2,6,0,7,1,6,7,0,4.5
328,Butland,1,50,82,1.64,2.9285714285714284,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,0,5.0
