,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,PFA6
306,Forster,1,49,65.0,1.3265306122448979,3.823529411764706,a,6.0,3.0,11.0,1.0,7.0,3.0,9.0,1.0,6.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.1666666666666667
469,Pope,1,48,82.0,1.7083333333333333,4.823529411764706,a,0.0,0.0,0.0,2.0,4.0,6.0,9.0,4.0,3.0,9.0,8.0,8.0,2.0,2.0,2.0,6.0,11.0,6.0,2.0,1.0,6.0,2.0,4.666666666666667
220,Klavan,2,44,42.0,0.9545454545454546,2.4705882352941178,a,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,2.0,9.0,6.0,1.0,6.0,1.0,11.0,5.666666666666667
59,Bong,2,44,24.0,0.5454545454545454,1.411764705882353,a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,9.0,0.0,2.6666666666666665
264,Jones,2,57,63.0,1.105263157894737,3.7058823529411766,a,6.0,6.0,7.0,1.0,6.0,9.0,6.0,7.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,9.0,6.0,4.5
245,Otamendi,2,64,79.0,1.234375,4.647058823529412,a,8.0,2.0,1.0,5.0,12.0,6.0,5.0,1.0,15.0,0.0,1.0,0.0,0.0,2.0,11.0,11.0,6.0,1.0,7.0,8.0,8.0,2.0,5.333333333333333
100,Alonso,2,72,90.0,1.25,5.294117647058823,a,0.0,16.0,6.0,2.0,6.0,0.0,2.0,1.0,1.0,6.0,6.0,14.0,2.0,6.0,2.0,0.0,6.0,14.0,6.0,14.0,6.0,7.0,8.833333333333334
172,Mooy,3,54,62.0,1.1481481481481481,3.6470588235294117,a,6.0,10.0,3.0,2.0,2.0,3.0,2.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,15.0,2.0,2.0,3.0,2.0,4.333333333333333
300,Atsu,3,48,39.0,0.8125,2.2941176470588234,a,2.0,2.0,6.0,1.0,9.0,2.0,2.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,15.0,1.0,3.0,3.0,4.166666666666667
248,David Silva,3,81,94.0,1.1604938271604939,5.529411764705882,a,8.0,2.0,6.0,3.0,11.0,11.0,3.0,7.0,3.0,2.0,5.0,6.0,1.0,1.0,9.0,8.0,16.0,0.0,3.0,0.0,0.0,1.0,3.3333333333333335
234,Salah,3,101,124.0,1.2277227722772277,7.294117647058823,d,11.0,1.0,11.0,1.0,10.0,7.0,2.0,3.0,7.0,4.0,15.0,16.0,7.0,13.0,5.0,11.0,3.0,8.0,10.0,9.0,14.0,0.0,7.333333333333333
247,Sterling,3,89,112.0,1.2584269662921348,6.588235294117647,a,0.0,6.0,4.0,0.0,9.0,13.0,3.0,15.0,0.0,7.0,5.0,3.0,13.0,9.0,2.0,2.0,9.0,12.0,13.0,11.0,1.0,9.0,9.166666666666666
211,Okazaki,4,55,52.0,0.9454545454545454,3.0588235294117645,a,6.0,7.0,1.0,0.0,0.0,6.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,16.0,1.0,1.0,2.0,1.0,2.0,3.8333333333333335
161,Rooney,4,75,82.0,1.0933333333333333,4.823529411764706,a,9.0,8.0,1.0,1.0,2.0,1.0,1.0,9.0,6.0,2.0,2.0,0.0,0.0,15.0,5.0,8.0,8.0,13.0,0.0,0.0,1.0,1.0,3.8333333333333335
394,Kane,4,129,96.0,0.7441860465116279,5.647058823529412,a,1.0,1.0,2.0,13.0,2.0,13.0,13.0,2.0,16.0,0.0,2.0,1.0,8.0,6.0,2.0,12.0,2.0,1.0,17.0,17.0,0.0,0.0,6.166666666666667
