,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
54,Ryan,1,45,88,1.9555555555555555,5.176470588235294,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,1,0,4.833333333333333
421,Foster,1,44,76,1.7272727272727273,4.470588235294118,a,7,6,2,2,5,2,1,0,3,1,2,1,2,2,6,2,10,1,1,8,3,2,7,0,3.6666666666666665
468,Hegazi,2,46,73,1.5869565217391304,4.294117647058823,a,15,8,2,0,6,1,1,1,2,0,1,0,2,1,7,2,6,1,1,6,2,1,7,0,3.0
443,Cresswell,2,51,62,1.2156862745098038,3.6470588235294117,a,0,1,1,6,9,1,6,2,0,4,0,1,2,0,5,5,6,8,1,3,0,0,1,0,2.1666666666666665
171,Zanka,2,46,65,1.4130434782608696,3.823529411764706,a,10,6,6,0,2,8,0,0,2,1,6,0,1,0,1,10,1,2,2,1,5,1,0,0,1.8333333333333333
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
200,Albrighton,3,55,82,1.490909090909091,4.823529411764706,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,0,5.333333333333333
414,Doucouré,3,53,95,1.7924528301886793,5.588235294117647,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,0,4.0
274,Mata,3,68,71,1.0441176470588236,4.176470588235294,a,3,3,3,1,3,3,10,0,1,0,0,5,3,0,0,1,6,6,15,2,3,3,0,0,4.833333333333333
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
373,Ayew,4,51,70,1.3725490196078431,4.117647058823529,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,8,0,4.666666666666667
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
235,Firmino,4,91,117,1.2857142857142858,6.882352941176471,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,0,7.833333333333333
