,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PFA6,PFA3
381,Davies,2,59,119,2.016949152542373,3.838709677419355,a,TOT,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,0,4.333333333333333,1.0
520,Sánchez,2,60,84,1.4,2.7096774193548385,a,TOT,0,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,6,0,6,2,8,8,6,2,0,0,4.333333333333333,1.3333333333333333
307,Bertrand,2,53,76,1.4339622641509433,2.4516129032258065,a,SOU,8,1,6,1,6,2,1,1,6,2,2,1,9,1,3,2,3,2,0,0,0,1,1,5,2,0,1,2,6,1,0,0,1.6666666666666667,1.1666666666666667
380,Vertonghen,2,60,103,1.7166666666666666,3.3225806451612905,a,TOT,6,0,2,6,7,1,6,5,5,2,9,1,1,0,1,2,6,0,6,1,0,2,6,2,7,1,8,0,8,2,0,0,3.1666666666666665,1.6666666666666667
532,Aurier,2,59,74,1.2542372881355932,2.3870967741935485,a,TOT,0,0,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0,0,0,6,7,13,0,0,4.333333333333333,3.3333333333333335
199,Mahrez,3,88,161,1.8295454545454546,5.193548387096774,a,LEI,5,11,2,2,2,2,1,8,10,6,7,2,2,9,6,9,8,2,5,8,5,14,3,8,0,0,1,2,10,11,0,0,4.0,3.5
208,Iborra,3,57,45,0.7894736842105263,1.4516129032258065,a,LEI,0,0,0,0,0,0,1,2,2,3,9,2,2,2,3,2,0,2,2,0,2,0,1,0,0,0,0,0,0,10,0,0,1.6666666666666667,1.6666666666666667
107,Matic,3,47,79,1.6808510638297873,2.5483870967741935,a,MUN,3,3,3,2,6,3,3,3,2,3,2,2,3,1,2,2,3,1,1,2,2,3,3,2,2,3,2,1,9,2,0,0,2.8333333333333335,1.8333333333333333
106,Willian,3,70,117,1.6714285714285715,3.774193548387097,a,CHE,6,3,3,1,3,3,1,2,4,1,1,1,6,3,1,1,16,3,3,1,17,1,1,12,0,1,1,9,2,10,0,0,3.8333333333333335,2.0
390,Son,3,82,151,1.8414634146341464,4.870967741935484,a,TOT,1,1,3,1,3,0,1,3,7,3,10,1,2,1,7,16,8,2,3,14,0,9,13,2,3,2,3,1,16,15,0,0,6.166666666666667,5.166666666666667
285,Lukaku,4,114,144,1.263157894736842,4.645161290322581,a,MUN,13,6,0,6,12,7,6,2,5,5,2,6,2,5,2,2,5,8,2,2,1,0,5,5,2,6,2,12,8,5,0,0,5.5,2.1666666666666665
284,Rashford,4,73,87,1.1917808219178083,2.806451612903226,a,MUN,5,2,6,7,2,2,9,1,7,2,2,5,2,1,1,6,1,4,1,2,2,1,1,1,0,1,0,0,1,12,0,0,2.3333333333333335,2.1666666666666665
258,Iheanacho,4,65,33,0.5076923076923077,1.064516129032258,a,LEI,1,0,0,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,4,11,0,0,3.6666666666666665,2.5
305,McCarthy,1,44,25,0.5681818181818182,0.8064516129032258,a,SOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,2,1,1,2,7,1,0,0,2.0,1.3333333333333333
375,Lloris,1,54,107,1.9814814814814814,3.4516129032258065,a,TOT,7,1,2,6,6,1,6,6,4,2,0,2,2,1,2,2,9,2,6,2,0,2,6,0,7,1,6,7,7,2,0,0,3.8333333333333335,1.5
