,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,PFA6
245,Otamendi,2,65,121,1.8615384615384616,4.653846153846154,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,0,3.1666666666666665
100,Alonso,2,74,138,1.864864864864865,5.3076923076923075,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,4.666666666666667
357,Mawson,2,50,87,1.74,3.3461538461538463,a,6,0,6,2,6,1,2,6,8,1,2,1,6,2,1,8,0,1,2,0,2,1,1,15,5,2,0,4.333333333333333
263,Smalling,2,53,71,1.3396226415094339,2.730769230769231,a,0,0,0,0,0,1,6,5,1,8,2,7,6,1,2,1,6,2,1,0,0,0,6,7,1,8,0,3.6666666666666665
541,Dragovic,2,49,21,0.42857142857142855,0.8076923076923077,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1,2,0,3.5
234,Salah,3,103,204,1.9805825242718447,7.846153846153846,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,0,8.333333333333334
281,Mkhitaryan,3,78,71,0.9102564102564102,2.730769230769231,a,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,0,2.8333333333333335
280,Martial,3,81,111,1.3703703703703705,4.269230769230769,a,10,6,3,1,6,0,4,3,0,6,1,7,3,8,5,2,3,1,5,0,1,11,12,10,2,1,0,6.166666666666667
450,Noble,3,53,51,0.9622641509433962,1.9615384615384615,a,2,2,2,0,0,2,3,0,0,2,1,1,0,0,0,3,3,6,0,0,0,1,8,3,10,2,0,4.0
227,Can,3,48,71,1.4791666666666667,2.730769230769231,a,5,0,3,1,4,2,0,3,1,1,2,1,0,5,8,0,2,0,8,3,1,2,2,2,14,1,0,3.6666666666666665
394,Kane,4,128,160,1.25,6.153846153846154,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,0,4.833333333333333
373,Jordan Ayew,4,53,82,1.5471698113207548,3.1538461538461537,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,8,2,8,2,0,4.833333333333333
48,Wilson,4,59,73,1.2372881355932204,2.8076923076923075,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,2,12,2,0,6.0
240,Ederson,1,56,108,1.9285714285714286,4.153846153846154,a,6,2,2,2,6,6,8,1,6,1,2,6,2,2,3,3,7,2,6,6,14,3,1,3,6,2,0,4.833333333333333
163,Lössl,1,46,98,2.130434782608696,3.769230769230769,a,9,8,6,1,2,7,1,1,5,8,8,0,2,0,1,6,1,2,3,3,9,1,0,2,2,10,0,4.0
