,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
124,van Aanholt,2,51,40,0.7843137254901961,1.3333333333333333,a,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,5,1,6,0,2,3,0,2,7,6,0,3.3333333333333335
223,Alexander-Arnold,2,43,54,1.255813953488372,1.8,a,0,0,0,-1,2,0,0,0,0,0,0,7,0,0,2,0,7,0,0,14,0,5,0,0,0,0,6,2,9,1,0,3.0
267,Valencia,2,69,128,1.855072463768116,4.266666666666667,a,5,6,9,1,15,5,6,6,1,5,2,2,8,1,8,1,6,7,0,0,0,0,15,5,1,6,1,1,4,1,0,2.3333333333333335
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
18,Ramsey,3,69,106,1.536231884057971,3.533333333333333,a,6,2,1,6,3,6,3,0,12,9,6,3,6,10,6,2,0,0,0,0,0,0,1,0,2,20,0,2,0,0,0,4.0
281,Mkhitaryan,3,77,90,1.1688311688311688,3.0,a,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,2,2,2,13,0,5.5
132,Milivojevic,3,49,96,1.9591836734693877,3.2,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2,2,0,4.166666666666667
450,Noble,3,53,59,1.1132075471698113,1.9666666666666666,a,2,2,2,0,0,2,3,0,0,2,1,1,0,0,0,3,3,6,0,0,0,1,8,3,10,2,3,2,1,2,0,3.3333333333333335
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
71,Murray,4,59,99,1.6779661016949152,3.3,a,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,2,0,6.166666666666667
536,Karnezis,1,45,32,0.7111111111111111,1.0666666666666667,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,7,8,2,0,5.0
163,Lössl,1,46,110,2.391304347826087,3.6666666666666665,a,9,8,6,1,2,7,1,1,5,8,8,0,2,0,1,6,1,2,3,3,9,1,0,2,2,10,2,2,2,6,0,4.0
