,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
260,de Gea,1,59,114,1.9322033898305084,6.705882352941177,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,0,0,3.0
397,Gomes,1,45,62,1.3777777777777778,3.6470588235294117,a,1,7,6,7,0,2,1,3,1,2,1,7,8,0,2,3,1,1,2,3,1,2,1,0,1.6666666666666667
289,Clark,2,44,57,1.2954545454545454,3.3529411764705883,a,1,2,15,6,1,2,2,0,0,0,1,0,1,8,0,1,0,0,1,0,8,6,2,0,2.8333333333333335
58,Bruno,2,45,65,1.4444444444444444,3.823529411764706,a,1,1,0,7,0,7,1,1,8,2,6,1,2,6,0,1,0,7,6,0,6,1,1,0,3.5
38,Aké,2,49,61,1.2448979591836735,3.588235294117647,a,3,1,0,1,2,1,9,2,2,2,7,6,6,1,2,1,2,-1,0,9,2,1,2,0,2.1666666666666665
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
200,Albrighton,3,55,82,1.490909090909091,4.823529411764706,a,5,3,1,1,2,1,3,1,2,1,1,2,10,8,3,5,1,2,4,8,2,13,3,0,5.333333333333333
414,Doucouré,3,53,95,1.7924528301886793,5.588235294117647,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,0,4.0
70,Groß,3,58,103,1.7758620689655173,6.0588235294117645,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,0,3.6666666666666665
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
187,Depoitre,4,55,70,1.2727272727272727,4.117647058823529,a,0,0,0,1,9,2,2,2,9,2,2,2,2,1,2,1,5,13,9,1,2,1,2,0,4.666666666666667
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
235,Firmino,4,91,117,1.2857142857142858,6.882352941176471,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,0,7.833333333333333
