,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
357,Mawson,2,51,96,1.8823529411764706,3.310344827586207,a,6,0,6,2,6,1,2,6,8,1,2,1,6,2,1,8,0,1,2,0,2,1,1,15,5,2,7,0,2,0,5.166666666666667
354,Fernández,2,45,71,1.5777777777777777,2.4482758620689653,a,9,0,6,2,8,1,2,7,-1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,11,2,10,6,0,2,0,5.166666666666667
356,van der Hoorn,2,44,63,1.4318181818181819,2.1724137931034484,a,0,0,7,0,5,1,0,0,0,1,0,0,6,2,1,6,0,0,0,0,0,0,7,6,2,2,6,1,10,0,4.5
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
45,Ibe,3,48,67,1.3958333333333333,2.310344827586207,d,1,1,0,1,7,2,1,1,2,1,3,4,2,2,1,1,0,2,2,2,2,5,9,3,6,5,1,0,0,0,2.5
342,Shaqiri,3,63,122,1.9365079365079365,4.206896551724138,a,2,1,2,7,7,1,5,2,0,5,13,5,9,2,8,2,3,2,2,2,0,1,2,6,3,8,10,9,3,0,6.5
317,Ward-Prowse,3,51,73,1.4313725490196079,2.5172413793103448,a,3,1,1,1,1,1,0,0,0,5,1,1,5,0,1,2,1,2,2,0,2,2,15,2,8,12,2,2,0,0,4.333333333333333
42,Stanislas,3,59,57,0.9661016949152542,1.9655172413793103,a,0,0,0,0,0,1,3,2,13,2,0,0,0,0,2,2,2,1,1,0,0,0,0,4,12,1,7,2,2,0,4.666666666666667
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
71,Murray,4,58,97,1.6724137931034482,3.3448275862068964,a,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,0,6.0
328,Butland,1,50,93,1.86,3.206896551724138,a,3,11,2,3,1,0,2,0,1,6,1,0,0,0,3,2,2,2,4,4,2,3,3,9,7,2,3,6,11,0,6.333333333333333
214,Karius,1,48,51,1.0625,1.7586206896551724,a,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,8,0,6.0
