,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,PFA6
245,Otamendi,2,65,121,1.8615384615384616,4.653846153846154,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,0,3.1666666666666665
100,Alonso,2,74,138,1.864864864864865,5.3076923076923075,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,4.666666666666667
97,Azpilicueta,2,70,128,1.8285714285714285,4.923076923076923,a,1,2,9,7,6,14,2,-1,7,8,12,6,3,0,2,2,2,7,6,12,6,1,7,6,1,0,0,3.5
289,Clark,2,44,64,1.4545454545454546,2.4615384615384617,d,1,2,15,6,1,2,2,0,0,0,1,0,1,8,0,1,0,0,1,0,8,6,2,3,2,2,0,3.8333333333333335
313,Stephens,2,45,43,0.9555555555555556,1.6538461538461537,a,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,6,1,1,1,8,7,0,4.0
234,Salah,3,103,204,1.9805825242718447,7.846153846153846,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,0,8.333333333333334
490,Pröpper,3,53,68,1.2830188679245282,2.6153846153846154,a,2,2,3,2,2,3,2,1,7,2,3,5,2,3,2,2,2,3,3,2,3,1,2,2,2,5,0,2.5
206,Ndidi,3,49,66,1.346938775510204,2.5384615384615383,a,2,3,2,1,2,1,3,2,2,3,6,2,2,6,3,5,2,-1,2,2,1,3,3,3,4,2,0,2.6666666666666665
342,Shaqiri,3,61,100,1.639344262295082,3.8461538461538463,a,2,1,2,7,7,1,5,2,0,5,13,5,9,2,8,2,3,2,2,2,0,1,2,6,3,8,0,3.3333333333333335
247,Sterling,3,90,165,1.8333333333333333,6.346153846153846,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,10,3,0,4.833333333333333
394,Kane,4,128,160,1.25,6.153846153846154,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,0,4.833333333333333
437,Rodriguez,4,56,68,1.2142857142857142,2.6153846153846154,a,1,2,5,2,2,2,2,2,2,6,2,2,2,0,2,2,1,1,1,2,8,2,5,9,2,1,0,4.5
91,Vokes,4,57,46,0.8070175438596491,1.7692307692307692,a,13,2,1,2,1,0,0,1,0,0,8,1,0,0,1,0,1,1,1,0,1,4,2,1,3,2,0,2.1666666666666665
375,Lloris,1,54,85,1.5740740740740742,3.269230769230769,a,7,1,2,6,6,1,6,6,4,2,0,2,2,1,2,2,9,2,6,2,0,2,6,0,7,1,0,2.6666666666666665
189,Schmeichel,1,50,100,2.0,3.8461538461538463,a,2,6,9,2,2,2,10,2,3,6,2,1,3,2,10,1,3,2,2,-1,2,6,11,9,1,2,0,5.166666666666667
