,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,PFA6
245,Otamendi,2,65,121,1.8615384615384616,4.653846153846154,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,0,3.1666666666666665
100,Alonso,2,74,138,1.864864864864865,5.3076923076923075,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,4.666666666666667
354,Fernández,2,44,63,1.4318181818181819,2.423076923076923,a,9,0,6,2,8,1,2,7,-1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,11,2,10,0,4.166666666666667
215,Lovren,2,53,69,1.3018867924528301,2.6538461538461537,a,1,1,5,0,0,0,2,7,0,0,1,5,0,6,2,1,6,13,1,0,2,7,1,0,7,1,0,3.0
265,Shaw,2,49,31,0.6326530612244898,1.1923076923076923,a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,6,6,0,0,6,0,4.0
234,Salah,3,103,204,1.9805825242718447,7.846153846153846,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,0,8.333333333333334
247,Sterling,3,90,165,1.8333333333333333,6.346153846153846,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,10,3,0,4.833333333333333
106,Willian,3,68,94,1.3823529411764706,3.6153846153846154,d,6,3,3,1,3,3,1,2,4,1,1,1,6,3,1,1,16,3,3,1,17,1,1,12,0,0,0,5.166666666666667
84,Gudmundsson,3,50,80,1.6,3.076923076923077,a,2,2,1,3,1,1,0,4,1,5,6,3,2,5,2,6,3,3,2,1,3,8,2,2,2,10,0,4.5
206,Ndidi,3,49,66,1.346938775510204,2.5384615384615383,a,2,3,2,1,2,1,3,2,2,3,6,2,2,6,3,5,2,-1,2,2,1,3,3,3,4,2,0,2.6666666666666665
394,Kane,4,128,160,1.25,6.153846153846154,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,0,4.833333333333333
209,Vardy,4,86,121,1.4069767441860466,4.653846153846154,a,13,2,2,7,9,3,2,2,2,8,2,2,5,8,2,2,5,2,8,2,9,0,2,9,7,6,0,5.5
48,Wilson,4,59,73,1.2372881355932204,2.8076923076923075,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,2,12,2,0,6.0
287,Darlow,1,44,33,0.75,1.2692307692307692,a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,7,9,2,3,0,3,0,4.0
189,Schmeichel,1,50,100,2.0,3.8461538461538463,a,2,6,9,2,2,2,10,2,3,6,2,1,3,2,10,1,3,2,2,-1,2,6,11,9,1,2,0,5.166666666666667
